Description,Rank 3 Months to 5 Apr 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 5 Apr 2026
Cybersecurity,,+32,"£55,000",-8.33%,"1,560","9,574",11.81%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,8
Python,,-2,"£67,500",-10.00%,"3,046","6,074",7.49%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,14
SQL,,-11,"£60,000",-,"2,460","5,351",6.60%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,21
Software Engineering,,-6,"£70,000",-3.44%,"1,759","5,216",6.43%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,23
AWS,,-13,"£70,079",-3.34%,"2,326","5,202",6.42%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,24
Java,,-29,"£75,000",-,898,"2,249",2.77%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,70
JavaScript,,-47,"£57,500",-12.87%,"1,036","2,238",2.76%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,71
Data Science,,-40,"£70,932",+1.33%,811,"1,095",1.35%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,161
Databricks,,-17,"£85,000",+9.67%,399,761,0.94%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5,222
Snowflake,,-12,"£85,000",-8.10%,191,474,0.58%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=7,7,317
R,,-36,"£30,500",-50.80%,213,318,0.39%,6mo,2026-04-06,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=10,10,408
